,Tweet,Date,User
76,Some random picture of my Dad. He went to Serra and got a scholarship to play at University of Hawaii but came home after a year cause he was home sick 😵‍💫 https://t.co/pgpp1tJ1Bt,2022-04-28 12:02:50+00:00,Toosdayborn
77,"Check out the effect of how an 'Impact of a Scholarship' has had on #GolfTerps alum Tom Hanna III's life! ⛳️

""You grow up a Terp. It was hard to look anywhere else."" -Tom Hanna III

Read More ➡️ https://t.co/y01Wspgs7Q https://t.co/x8WxFxozzk",2022-04-28 12:02:48+00:00,TerpsMGolf
78,"""I just won the #I4GDataCamp scholarship and I’m thrilled to learn data skills and build my data career. Thanks to @ingressive4Good and @datacamp"". Thank you @DONJAZZY. You twitted their link and I applied. https://t.co/Hf9TqAAAVQ",2022-04-28 12:02:48+00:00,KAmunuba
79,Yolo County vintner receives international scholarship – Daily Democrat https://t.co/TxORD6pXJx,2022-04-28 12:02:28+00:00,abuarsy21355212
80,"@greybtc @Stepnofficial You can start scholarship so that I can run for you, we share the daily income",2022-04-28 12:02:17+00:00,Vivacoin2
81,"On Thursdays we wear BLUE!

#JCEAproud#WEareJCEA #TeamJeffco 

Get your Educate Swag here and Support the DDAM Scholarship! 
https://t.co/ka8xwIRoiR https://t.co/FL5FvclAjq",2022-04-28 12:02:13+00:00,JCEAColorado
82,"WCC has resources to aid your success: financial aid, tutoring, and over $2 million in scholarships! RSVP for Open House https://t.co/3QI31a00Cp
 
#WCCHereForYou https://t.co/d0w5Po1XtH",2022-04-28 12:02:12+00:00,sunywcc1
83,GDL Scholarship applications are open. Your references are important - make sure you give yours plently of notice so they can submit by the deadline. https://t.co/WXdQcWclYo https://t.co/J3j1ify658,2022-04-28 12:02:12+00:00,HonSocGraysInn
84,#Impact journey of management scholarship moved from translating for managers to co-creating with them to performing with them. Read more in #BASeditorscommentary by @TimaBansal and @garimasharma11. Open Access here: https://t.co/oMw14xnmtC https://t.co/x9bnlcHnGC,2022-04-28 12:02:10+00:00,BASeditors
85,"House passes Lifeline Scholarships, House lawmakers' expenses would be posted online under legislation, and
here's how to watch the replay of last night's PA GOP gov. debate

Here's what we're reading (and watching)!

https://t.co/hZ1kyqHe2c",2022-04-28 12:02:07+00:00,gldiorio
86,Congratulations to our Weller Foundation scholarship recipients. https://t.co/aBE8lMo6GB,2022-04-28 12:02:07+00:00,kriddleSHS
87,Last chance to submit Partner Colorado Foundation scholarship applications! Make sure you send us yours by April 30th. Details here: https://t.co/kA6hrhrJMB #scholarship #Colorado #students #scholarshipapplication #brightfutures #credituniondifference https://t.co/2dr28BzPik,2022-04-28 12:02:04+00:00,PartnerColorado
88,"MVP Guild - Axie Deathmatch Season 2

MVP | JEMUEL has fought many challengers and proved that he is worthy of the crown!

We are still looking for aspiring Scholars who want to have an Axie Infinity Scholarship.

Simply join our discord: https://t.co/iuZPgWfnb4

#MVPEsports https://t.co/YcmkZ07Hqm",2022-04-28 12:02:02+00:00,mvpguildph
89,@llllizdog Lollll same it’s a scholarship cos we live in cranny💀💀💀,2022-04-28 12:01:59+00:00,hoelliah2
90,"Join us for CSFP's Legacy Gala! 

Tickets are officially live, and can be purchased at https://t.co/6mzdZJZVTy! 

We look forward to celebrating 20 years of hope, opportunity, and success through scholarship with you. https://t.co/72wQLP41Hh",2022-04-28 12:01:58+00:00,CSFPhiladelphia
91,The Healthy Learning Trust empowers young people to enhance their own lives and the lives of others through our FIVE PATHWAYS to HEALTH &amp; WELL-BEING to SCHOLARSHIP. To find out more visit https://t.co/5KCr7BGzqh #SCHOLARSHIP #HEALTH #WELL-BEING https://t.co/KBTLGyVtKo,2022-04-28 12:01:52+00:00,hltMAT
92,"@AskCommonwealth 1. You can’t call me broke and the best you give is $100. I spend that at the barbershop
2. This foundation isn’t doing anything to help these kids get better grades or to provide scholarships so I have no reason to contribute.",2022-04-28 12:01:51+00:00,sjs856
93,Roberto Pulido Scholarships Continue To Give Students A Way To Pursue A Career In Music https://t.co/fOGfhLN3Za,2022-04-28 12:01:50+00:00,TejanoNation
94,"Postdoctoral researcher ‘Societal impact &amp; engaged scholarship in interdisciplinary at Erasmus, Netherlands, May 2022 https://t.co/PGrzzw4GpE

#NetherlandsPostdocPositions #Postdoc #PostdocPositions #Netherlands",2022-04-28 12:01:48+00:00,nviewscareer
95,"This is a last call to join POD Connects - registration closes tomorrow!

Get matched in a group based on your Career Stage (early, mid, late), or if you're interested in the Scholarship of Educational Development.

https://t.co/6qA9luz3y0 https://t.co/3z8D29Woln",2022-04-28 12:01:34+00:00,PODNetworkHQ
96,"During today's celebrations we want to remind girls of this STEM Scholarship opportunity. We need more girls in ICT.

 Follow this link to learn more and to APPLY TODAY.
https://t.co/733WOO9rVF https://t.co/vkaH7KJkHj",2022-04-28 12:01:33+00:00,funiccameroon
